country,datecreated,displayname,favourites_count,followers_count,friends_count,lt,message,profileaddress,retweet_count,st,summary,text_id,user_id
Eastern Time (US & Canada),2017-11-22,realDonaldTrump,19920,43166512,45,"Washington, DC",The @USNavy is conducting search and rescue following aircraft crash. We are monitoring the situation. Prayers for https://t.co/CX0C8dU4h7,"Washington, DC",4850,Twitter for iPhone,45th President of the United States of America,933319309551685633,25073877
Eastern Time (US & Canada),2017-11-22,realDonaldTrump,37187,43166512,45,"Washington, DC",Will be having meetings and working the phones from the Winter White House in Florida (Mar-a-Lago). Stock Market hi https://t.co/nfmwwXtyRy,"Washington, DC",7806,Twitter for iPhone,45th President of the United States of America,933301876975718401,25073877
Eastern Time (US & Canada),2017-11-22,realDonaldTrump,0,43166512,45,"Washington, DC","RT @IngrahamAngle: Far right? You mean right so far, as in @realDonaldTrump has been right so far abt how to kick the economy into high","Washington, DC",4654,Twitter for iPhone,45th President of the United States of America,933292289211772929,25073877
Eastern Time (US & Canada),2017-11-22,realDonaldTrump,0,43166512,45,"Washington, DC","RT @Realjmannarino: @realDonaldTrump The ungratefulness is something Ive never seen before. If you get someones son out of prison, he sho","Washington, DC",4252,Twitter for iPhone,45th President of the United States of America,933291745722351617,25073877
Eastern Time (US & Canada),2017-11-22,realDonaldTrump,52838,43166512,45,"Washington, DC",The NFL is now thinking about a new idea - keeping teams in the Locker Room during the National Anthem next season. https://t.co/tqZuHcaCyG,"Washington, DC",11935,Twitter for iPhone,45th President of the United States of America,933285973277868032,25073877
Eastern Time (US & Canada),2017-11-22,realDonaldTrump,65809,43166512,45,"Washington, DC","...LaVar, you could have spent the next 5 to 10 years during Thanksgiving with your son in China, but no NBA contra https://t.co/R7yb95fkUw","Washington, DC",17321,Twitter for iPhone,45th President of the United States of America,933282274937733126,25073877
Eastern Time (US & Canada),2017-11-22,realDonaldTrump,57075,43166512,45,"Washington, DC","It wasnt the White House, it wasnt the State Department, it wasnt father LaVars so-called people on the ground https://t.co/U895bwpOnK","Washington, DC",16329,Twitter for iPhone,45th President of the United States of America,933280234220134401,25073877
Eastern Time (US & Canada),2017-11-22,realDonaldTrump,59750,43166512,45,"Washington, DC","Today, we continued a wonderful American Tradition at the White House. Drumstick and Wishbone will live out their d https://t.co/kATC8YVCyz","Washington, DC",12178,Twitter for iPhone,45th President of the United States of America,933105158275325952,25073877
Eastern Time (US & Canada),2017-11-22,realDonaldTrump,55232,43166512,45,"Washington, DC",President Donald J. Trump and @FLOTUS Melania Participate in the Pardoning of the National Thanksgiving Turkey at t https://t.co/QkuaKB68Dp,"Washington, DC",13004,Twitter for iPhone,45th President of the United States of America,933038654171344896,25073877
Eastern Time (US & Canada),2017-11-22,realDonaldTrump,74674,43166512,45,"Washington, DC",Under President Trump unemployment rate will drop below 4%.  Analysts predict economic boom for 2018!  @foxandfriends and @Varneyco,"Washington, DC",17221,Twitter for iPhone,45th President of the United States of America,932578255810498560,25073877
